from_lat,from_lon,target_name,startTime,duration,walkDistance
54.83250607,11.32775891,nakskov skole,1724313665000.0,3928.0,3467.63
54.83442773,11.32715587,skole nr 1 ,1724314622000.0,4181.0,2358.27
54.83442773,11.32715587,nakskov skole,1724313839000.0,3754.0,3246.38
54.83398788,11.32733904,skole nr 1 ,1724314580000.0,4223.0,2410.65
54.83398788,11.32733904,nakskov skole,1724313797000.0,3796.0,3298.77
54.8183064,11.32555114,skole nr 1 ,,,
54.8183064,11.32555114,nakskov skole,,,
54.83117038,11.32712926,skole nr 1 ,1724314324000.0,4479.0,2737.6
54.83117038,11.32712926,nakskov skole,,,
54.8162283,11.33098329,skole nr 1 ,,,
54.8162283,11.33098329,nakskov skole,,,
54.81618549,11.33469897,skole nr 1 ,,,
54.81618549,11.33469897,nakskov skole,,,
54.8161774,11.3372599,skole nr 1 ,1724316353000.0,6050.0,3678.89
54.8161774,11.3372599,nakskov skole,1724316353000.0,4840.0,4539.08
54.81619368,11.33299538,skole nr 1 ,,,
54.81619368,11.33299538,nakskov skole,,,
54.82657629,11.32396411,skole nr 1 ,1724313883000.0,4920.0,3306.48
54.82657629,11.32396411,nakskov skole,1724316700000.0,4493.0,4194.59
54.81618624,11.33439544,skole nr 1 ,,,
54.81618624,11.33439544,nakskov skole,,,
54.83394758,11.32734046,skole nr 1 ,1724314577000.0,4226.0,2415.14
54.83394758,11.32734046,nakskov skole,1724313794000.0,3799.0,3303.25
54.83358985,11.32734429,skole nr 1 ,1724314546000.0,4257.0,2454.91
54.83358985,11.32734429,nakskov skole,1724313763000.0,3830.0,3343.03
54.83407351,11.32733634,skole nr 1 ,1724314588000.0,4215.0,2401.13
54.83407351,11.32733634,nakskov skole,1724313805000.0,3788.0,3289.2400000000002
54.83296724,11.32759735,skole nr 1 ,1724314491000.0,4312.0,2527.0
54.83296724,11.32759735,nakskov skole,1724313708000.0,3885.0,3415.11
54.83286361,11.32911483,skole nr 1 ,1724314376000.0,4427.0,2668.08
54.83286361,11.32911483,nakskov skole,,,
54.83493236,11.32605068,skole nr 1 ,1724314692000.0,4111.0,2266.8199999999997
54.83493236,11.32605068,nakskov skole,1724313909000.0,3684.0,3154.9300000000003
54.83479987,11.32623773,skole nr 1 ,1724314677000.0,4126.0,2286.3799999999997
54.83479987,11.32623773,nakskov skole,1724313894000.0,3699.0,3174.49
54.8289963,11.32461836,skole nr 1 ,1724314100000.0,4703.0,3027.99
54.8289963,11.32461836,nakskov skole,,,
54.82484626,11.324023,skole nr 1 ,1724313734000.0,5069.0,3498.89
54.82484626,11.324023,nakskov skole,1724316551000.0,4642.0,4387.0
